Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.981758557081369,0.9928575620742499,0.9611527252231484
mvtec_pill,0.9923622476813967,0.9843878269513725,0.9434482192528538
mvtec_capsule,0.9764658954926208,0.9893507932348635,0.9284636204941384
mvtec_carpet,0.9979935794542536,0.9734837214521919,0.8397531073986146
mvtec_grid,1.0,0.984171985273935,0.9420692166004048
mvtec_tile,0.9992784992784993,0.9421178472785411,0.8863766717691233
mvtec_wood,1.0,0.938000193284888,0.8336155841522105
mvtec_zipper,0.9989495798319328,0.9880821926753983,0.9590149020115778
mvtec_cable,0.9994377811094454,0.9752999659044451,0.909378393020346
mvtec_toothbrush,1.0,0.982555353836681,0.9224338239965358
mvtec_transistor,1.0,0.9658396398828775,0.9370008337188404
mvtec_metal_nut,1.0,0.9866070241606252,0.8613711094346596
mvtec_bottle,1.0,0.9802288746087926,0.9046060108054967
mvtec_hazelnut,0.9985714285714286,0.9778174130154239,0.8261109610540919
mvtec_leather,1.0,0.9915500014667806,0.9666037443306825
Mean,0.9963211712333965,0.9768233596734045,0.9080932615508482
