Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.6517729042836646,0.11479395164713464,0.006081035434280603
mvtec_pill,0.8139661756683033,0.9160847760842973,0.7545211912917614
mvtec_capsule,0.7937774232149981,0.8990407241125856,0.7177763889971172
mvtec_carpet,0.9081059390048154,0.9545735202201333,0.8614259871401752
mvtec_grid,0.9582289055973267,0.7831228616602446,0.6582173665342439
mvtec_tile,0.8694083694083693,0.7031781429702855,0.3297264577413528
mvtec_wood,0.9929824561403509,0.8303219946055319,0.6653953981544876
mvtec_zipper,0.9740021008403361,0.926949527823887,0.845549610020584
mvtec_cable,0.7541229385307348,0.8756829986406062,0.6716720414915274
mvtec_toothbrush,0.8944444444444445,0.9542063148906175,0.7555008011924391
mvtec_transistor,0.8229166666666666,0.783907945526415,0.7304980265112172
mvtec_metal_nut,0.9374389051808406,0.8117802417176959,0.7933756584339096
mvtec_bottle,1.0,0.93782907704566,0.7906573304615896
mvtec_hazelnut,0.9960714285714285,0.9566812512502976,0.8387689363684872
mvtec_leather,0.991508152173913,0.9522850348036295,0.9574330914750365
Mean,0.8905831206484127,0.8266958908666014,0.6917732880832139
